productId,productName,category,retailer,region,regionName,currency,condition,price,inStock,quantity,url,fetchedAt
macbook-pro-m3-max,"Refurbished 14"" MacBook Pro mit Apple M3 Max Chip, 14‑Core CPU und 30‑Core GPU - Space Schwarz",apple,apple-refurbished,DE,Germany,EUR,refurbished,3429,true,,https://www.apple.com/de/shop/product/frx53d/a/refurbished-14-zoll-mac-book-pro-apple-m3-max-chip-mit-14‑core-cpu-und-30‑core-gpu-space-schwarz,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 14"" MacBook Pro mit Apple M5 Max Chip, 18‑Core CPU und 40‑Core GPU, Display mit Nanotextur – Silber",apple,apple-refurbished,DE,Germany,EUR,refurbished,9449,true,,https://www.apple.com/de/shop/product/g1mk9d/a/Refurbished-14-MacBook-Pro-mit-Apple-M5-Max-chip-18‑Core-CPU-und-40‑Core-GPU-Display-mit-Nanotextur-Silber,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 16"" MacBook Pro mit Apple M5 Pro Chip, 18‑Core CPU und 20‑Core GPU - Silber",apple,apple-refurbished,DE,Germany,EUR,refurbished,2889,true,,https://www.apple.com/de/shop/product/fge44d/a/Refurbished-16-MacBook-Pro-mit-Apple-M5-Pro-chip-18‑Core-CPU-und-20‑Core-GPU-Silber,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 14"" MacBook Pro mit Apple M5 Chip, 10‑Core CPU und 10‑Core GPU – Space Schwarz",apple,apple-refurbished,DE,Germany,EUR,refurbished,1869,true,,https://www.apple.com/de/shop/product/fde14d/a/Refurbished-14-MacBook-Pro-mit-Apple-M5-Chip-10‑Core-CPU-und-10‑Core-GPU-Space-Schwarz,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 16"" MacBook Pro mit Apple M5 Max Chip, 18‑Core CPU und 40‑Core GPU, Display mit Nanotextur - Silber",apple,apple-refurbished,DE,Germany,EUR,refurbished,9649,true,,https://www.apple.com/de/shop/product/g1my9d/a/Refurbished-16-MacBook-Pro-mit-Apple-M5-Max-chip-18‑Core-CPU-und-40‑Core-GPU-Display-mit-Nanotextur-Silber,2026-07-16T14:33:43.054Z
macbook-pro-m4-max,"Refurbished 14"" MacBook Pro mit Apple M4 Max Chip, 16‑Core CPU und 40‑Core GPU, Display mit Nanotextur – Space Schwarz",apple,apple-refurbished,DE,Germany,EUR,refurbished,7449,true,,https://www.apple.com/de/shop/product/g1fgvd/a/Refurbished-14-MacBook-Pro-mit-Apple-M4-Max-Chip-16‑Core-CPU-und-40‑Core-GPU-Display-mit-Nanotextur-Space-Schwarz,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 14"" MacBook Pro mit Apple M5 Chip, 10‑Core CPU und 10‑Core GPU – Space Schwarz",apple,apple-refurbished,DE,Germany,EUR,refurbished,3649,true,,https://www.apple.com/de/shop/product/g1kk4d/a/Refurbished-14-MacBook-Pro-mit-Apple-M5-Chip-10‑Core-CPU-und-10‑Core-GPU-Space-Schwarz,2026-07-16T14:33:43.054Z
macbook-pro-m4-pro,"Refurbished 16"" MacBook Pro mit Apple M4 Pro Chip, 14‑Core CPU und 20‑Core GPU - Silber",apple,apple-refurbished,DE,Germany,EUR,refurbished,3349,true,,https://www.apple.com/de/shop/product/g1fq3d/a/Refurbished-16-MacBook-Pro-mit-Apple-M4-Pro-Chip-14‑Core-CPU-und-20‑Core-GPU-Silber,2026-07-16T14:33:43.054Z
macbook-pro-m5,"Refurbished 16"" MacBook Pro mit Apple M5 Pro Chip, 18‑Core CPU und 20‑Core GPU, Display mit Nanotextur - Space Schwarz",apple,apple-refurbished,DE,Germany,EUR,refurbished,3589,true,,https://www.apple.com/de/shop/product/g1n00d/a/Refurbished-16-MacBook-Pro-mit-Apple-M5-Pro-chip-18‑Core-CPU-und-20‑Core-GPU-Display-mit-Nanotextur-Space-Schwarz,2026-07-16T14:33:43.054Z
macbook-pro-m3-max,"Refurbished 16"" MacBook Pro mit Apple M3 Max Chip, 14‑Core CPU und 30‑Core GPU - Silber",apple,apple-refurbished,DE,Germany,EUR,refurbished,3699,true,,https://www.apple.com/de/shop/product/frw73d/a/refurbished-16-macbook-pro-mit-apple-m3-max-chip-14‑core-cpu-und-30‑core-gpu-silber,2026-07-16T14:33:43.054Z
